Period,Open,High,Low,Close
2025-09-12,14602.300000,14623.420000,14577.550000,14588.179952
2025-09-11,14521.390000,14606.640000,14502.320000,14594.641979
2025-09-10,14512.130000,14523.890000,14437.040000,14471.707257
2025-09-09,14407.690000,14440.700000,14362.870000,14428.253555
2025-09-08,14395.620000,14419.060000,14363.330000,14389.125242
2025-09-05,14463.500000,14470.330000,14275.770000,14358.110038
2025-09-04,14300.970000,14402.730000,14277.640000,14401.712332
2025-09-03,14275.830000,14292.920000,14210.150000,14281.228455
2025-09-02,14177.430000,14209.910000,14086.810000,14208.496798
2025-08-29,14368.920000,14373.310000,14269.990000,14304.679339
2025-08-28,14355.620000,14409.200000,14318.560000,14395.508106
2025-08-27,14307.470000,14362.390000,14298.310000,14349.859528
2025-08-26,14248.210000,14320.410000,14234.740000,14315.602197
2025-08-25,14296.380000,14316.760000,14252.960000,14255.755929
2025-08-22,14134.310000,14342.960000,14134.310000,14316.553130
2025-08-21,14125.360000,14153.760000,14063.160000,14101.785079
2025-08-20,14180.640000,14181.860000,14042.000000,14156.650948
2025-08-19,14267.970000,14290.170000,14166.360000,14190.800212
2025-08-18,14264.090000,14286.590000,14247.930000,14273.223294
2025-08-15,14334.610000,14336.840000,14256.000000,14273.567456
2025-08-14,14278.460000,14323.560000,14251.680000,14311.807485
2025-08-13,14298.310000,14336.920000,14259.240000,14306.963097
2025-08-12,14148.490000,14262.170000,14127.980000,14260.425751
2025-08-11,14135.910000,14174.790000,14079.250000,14100.030890
2025-08-08,14058.320000,14146.550000,14058.320000,14134.022132
2025-08-07,14099.270000,14133.310000,13957.980000,14023.351417
2025-08-06,13955.260000,14051.530000,13937.340000,14034.352720
2025-08-05,14015.690000,14035.940000,13911.150000,13932.880259
2025-08-04,13871.910000,14002.010000,13871.910000,14000.689001
2025-08-01,13905.810000,13905.810000,13742.090000,13796.829309
2025-07-31,14214.240000,14214.240000,13994.510000,14020.463395
2025-07-30,14111.870000,14145.560000,14013.160000,14071.342928
2025-07-29,14165.720000,14172.880000,14073.570000,14088.863448
2025-07-28,14148.130000,14155.330000,14099.930000,14130.605350
2025-07-25,14086.920000,14143.830000,14083.650000,14128.124146
2025-07-24,14083.060000,14110.690000,14065.500000,14071.447318
2025-07-23,13990.730000,14062.920000,13969.920000,14061.523353
2025-07-22,13945.670000,13966.600000,13890.640000,13952.353832
2025-07-21,13941.270000,14010.570000,13939.180000,13943.161619
2025-07-18,13959.080000,13963.530000,13897.880000,13923.349185
2025-07-17,13848.670000,13939.860000,13846.550000,13923.748337
2025-07-16,13828.840000,13858.920000,13712.200000,13849.171590
2025-07-15,13919.030000,13933.240000,13802.460000,13805.084834
2025-07-14,13828.960000,13868.990000,13794.610000,13858.617522
2025-07-11,13830.110000,13860.540000,13790.420000,13839.112526
2025-07-10,13854.710000,13906.470000,13821.030000,13884.888456
2025-07-09,13800.850000,13857.940000,13774.780000,13844.917046
2025-07-08,13780.130000,13799.010000,13744.150000,13761.330806
2025-07-07,13835.350000,13842.040000,13707.330000,13771.110333
2025-07-03,13807.290000,13891.700000,13807.290000,13879.976212
2025-07-02,13688.920000,13763.130000,13677.390000,13763.035376
2025-07-01,13673.900000,13725.650000,13653.400000,13697.680979
2025-06-30,13687.100000,13735.010000,13646.560000,13712.709259
2025-06-27,13591.660000,13673.300000,13551.110000,13641.099711
2025-06-26,13505.380000,13581.440000,13495.270000,13569.287315
2025-06-25,13487.840000,13497.280000,13435.390000,13461.166046
2025-06-24,13392.670000,13482.260000,13388.890000,13461.102719
2025-06-23,13190.110000,13320.200000,13131.840000,13312.752673
2025-06-20,13256.170000,13296.800000,13152.700000,13185.844198
2025-06-18,13229.490000,13296.370000,13197.000000,13213.876638
2025-06-17,13282.540000,13306.920000,13200.160000,13217.516607
2025-06-16,13264.140000,13367.580000,13264.140000,13328.428766
2025-06-13,13254.360000,13310.770000,13171.880000,13202.257055
2025-06-12,13272.780000,13350.850000,13259.480000,13350.847995
2025-06-11,13359.810000,13381.770000,13255.870000,13299.871648
2025-06-10,13272.480000,13345.530000,13252.270000,13336.289082
2025-06-09,13260.370000,13297.020000,13237.430000,13263.132020
2025-06-06,13220.460000,13286.280000,13202.260000,13249.812884
2025-06-05,13215.850000,13246.590000,13073.860000,13113.474872
2025-06-04,13199.900000,13224.900000,13171.960000,13181.974396
2025-06-03,13110.230000,13204.570000,13089.510000,13180.445466
2025-06-02,13017.590000,13105.760000,12939.770000,13104.244218
2025-05-30,13031.430000,13071.900000,12900.120000,13049.126654
2025-05-29,13110.340000,13117.330000,12964.770000,13049.008091
2025-05-28,13078.300000,13109.100000,12982.460000,12996.665363
